"","x"
"exampleid",0
"target",50.3
"feat1",84.6
"feat2",87.2
"feat3",84.6
"feat4",84.6
"feat5",89.6
"feat6",91.8
"feat7",89.6
"feat8",89.6
"feat9",1.3
"feat10",9.3
"feat11",1.3
"feat12",1.3
"feat13",0
"feat14",1.8
"feat15",11.7
"feat16",48.4
"feat17",84.5
"feat18",84.5
"feat19",0
"feat20",NA
"feat21",NA
"feat22",NA
"feat23",0
"feat24",1.8
"feat25",11.7
"feat26",39.9
"feat27",39.9
"feat28",39.9
"feat29",NA
"feat30",59.9
"feat31",39.9
"feat32",56.1
"feat33",41.6
"feat34",39.9
"feat35",97.6
"feat36",97.7
"feat37",97.6
"feat38",97.6
"feat39",97.6
"feat40",97.6
"feat41",97.6
"feat42",97.6
"feat43",39.9
"feat44",NA
"feat45",NA
"feat46",NA
"feat52",62.8
"feat53",62.8
"feat54",62.8
"feat55",NA
"feat56",62.8
"feat57",73.1
"feat58",64
"feat59",62.8
"feat60",62.8
"feat61",62.8
"feat62",62.8
"feat63",71.9
"feat64",9.5
"feat65",9.5
"feat66",9.5
"feat67",9.5
"feat68",40.8
"feat69",40.8
"feat70",40.8
"feat71",40.8
"feat72",91.2
"feat73",92.2
"feat74",91.2
"feat75",91.2
"feat76",91.2
"feat77",91.2
"feat78",91.2
